Hanzi,Pinyin,Nghĩa tiếng Việt
知道,zhi1dao4,biết ( thông tin)
十,shi2,10
百,bai3,Bách (trăm)
千,qian1,"Ngàn , nghìn ( thiên)"
万,wan4,vạn (chục ngàn)
好吃,hao3chi1,ngon ( đồ ăn)
好喝,hao3he1,ngon ( đồ uống)
可以,ke3yi3,"có thể ,được"
包饺子,bao1jiao3zi,gói sủi cảo
米饭,mi3fan4,"cơm,  cơm trắng"
白饭,bai2fan4,cơm trắng
吃白饭,chi1bai2fan4,ăn ko ngồi  rồi
稀饭,xi1fan4,cháo
白稀饭,bai2xi1fan4,Cháo trắng
粥,zhou1,cháo
白粥,bai2zhou1,cháo trắng
糯米,nuo4mi3,Nếp
糯米饭,nuo4mi3fan4,xôi
面条,mian4tiao2,mì sợi
面,mian4,mì
条,tiao2,sợi
方便,fang1bian4,"tiện,tiện lợi"
方便面,fang1bian4mian4,"mì ăn liền,mì gói"
扌,,bộ thủ ( tay)
抱,bao4,ôm (v)
拥抱,yong4bao4,"(v,n)cái ôm,ôm"
氵,,bộ 3 chấm thủy
泡,pao4,"pha ,ngâm"
泡茶,pao4cha2,Pha trà
泡面,pao4mian4,"(n,v) mì gói ,mì ăn liền, úp mì ,nấu mì"
蔬菜,shu1cai4,rau
艹,,bộ thảo
泡菜,pao4cai4,"kim chi, dưa muối"
泡妞,pao4niu1,tán gái
吃素,chi1su4,ăn thanh đạm ( thuầnTV)
吃斋,chi1zhai1,ăn chay
吃斋念佛,chi1zhai1nian4fo2,ăn chay niệm phật
吃斋念经,chi1zhai1nian4jing1,ăn chay niệm kinh
肉,rou4,(nhục) thịt
扣肉,kou4rou4,khâu nhục
猪肉,zhu1rou4,thịt heo
犭,,bộ khuyển
狗,gou3,chó
猫,mao1,mèo
牛肉,niu2rou4,thịt bò
鸡肉,ji1rou4,thịt gà
羊,yang2,dương  ( dê)
鸟,,bộ điểu /niao3/ : con chim
蛋,dan4,trứng
鸡蛋,ji1dan4,trứng gà
鸭,ya1,vịt
鸭蛋,ya1dan4,thịt vịt
鸭肉,ya1rou4,trứng vịt
鹅,e2,ngỗng
鹅蛋,e2dan4,trứng ngỗng
天鹅,tian1e2,Thiên nga
天鹅肉,tian1e2rou4,thịt thiên nga
蛤蟆,ha2ma2,con cóc
虫,,bộ trùng
想,xiang3,"muốn,nhớ nghĩ"
疒,,"bộ nạch,bộ bệnh"
瘌,la4,ghẻ
千里,qian1li3,ngàn dặm
鹅毛,e2mao2,lông ngỗng
万里,wan4li3,vặn dặm
万里长城,wan4li3chang2cheng2,vạn lí trường thành
送,song4,"(tống) tặng,tiễn ,đưa"
千里送鹅毛,,qian1li3song4e2mao2:
毛蛋,mao2dan4,trứng lộn
咸,xian2,mặn
咸蛋,xian2dan4,trứng muối
咸鸭蛋,xian2ya4dan4,trứng vịt muối
鹌鹑蛋,an1chun2dan4,trứng cút
鸵鸟,tuo2niao3,đà điểu
鸵鸟蛋,tuo2niao3dan4,trứng đà  điểu
溏心蛋,tang2xin1dan4,trứng lòng đào
皮肤,pi2fu,"da ,da dẻ"
皮蛋,pi2dan4,trứng bắc thảo
河,he2,sông (Hà)
荷,he2,Hà ( bông sen)
莲荷花,lian2he2hua1,bông Liên Hà ( bông sen)
荷包蛋,he2bao1dan4,trứng ốp la
煎,jian1,chiên
腿,tui3,chân
鸡腿,ji1tui3,đùi gà
鸡腿饭,ji1tui3fan4,cơm đùi gà
鸡腿面,ji1tui3mian4,mì đùi gà
翅膀,chi1bang3,cánh
羽,yu3,cánh ( chim)
打羽毛球,da3yu3mao2qiu2,đánh cầu lông
鸡翅膀,ji1chi1bang3,cánh gà
鸭翅膀,ya1chi1bang3,cánh vịt
爪,zhua3,bộ trảo
鸡爪,ji1zhua3,chân gà
肠,chang2,( tràng) ruột
腊肠,la4chang2,lạp xưởng
香肠,xiang1chang2,lạp xưởng
香,xiang1,( hương ) thơm
香水,xiang1shui3,nước hoa
打香水,da3xiang1shui3,xứt nước hoa
喷香水,pen4xiang1shui3,xịt nước hoa
火腿肠,huo3tui3chang2,xúc xích
放松,fang4song4,"thả lỏng, relax"
肉松,rou4song4,chà bông
打火机,da3huo3ji1,bật lửa
锅,guo1,nồi
火锅,huo3guo1,lẩu
锅巴,guo1ba,cơm cháy
烧烤,shao1kao3,BBQ
烧,shao1,(v) đốt
发烧,fa1shao1,"sốt ,bị sốt"
烧卖,shao1mai4,xíu mại
烤,kao3,nướng
北京烤鸭,Bei3jing1kao3ya1,Vịt quay Bắc Kinh
肯德基,ken3de2ji1,KFC
麦当劳,mai4dang1lao2,Mc donal
热,re4,( nhiệt ) nóng
热狗,re4gou3,hot dog
热情,re4qing2,Nhiệt tình
爱情,ai4qing2,tình yêu
汉堡包,han4bao3bao,hamburger
三明治,san1ming2zhi4,sandwich
寿司,shou4si1,sushi
新鲜,xin1xian1,"tươi,tươi mới"
新,xin1,(tân) mới
鲜,xian1,tươi
海,hai3,( hải ) biển
海鲜,hai3xian1,hải  sản
鱼,yu2,( ngư ) cá
美,mei3,mỹ ( đẹp)
美人鱼,mei3ren2yu2,mỹ nhân ngư
鳗鱼,man2yu2,lươn (cá chình)
巴沙鱼,ba1sha1yu2,cá ba sa
草,cao3,( thảo) cỏ
草鱼,cao3yu2,cá trắm cỏ
鲶鱼,nian2yu2,cá trê
鲤鱼,li3yu2,cá chép
石斑鱼,shi2ban1yu2,cá bống mú
三文鱼,san1wen2yu2,cá hồi
骨,gu3,cốt ( xương)
骨头,gu3tou2,"cục xương, xương  ống  ( thịt)"
鱼刺,yu2ci4,xương cá
刺耳,ci4er3,chói tai
刺客,ci4ke4,thích khách
刺激,ci4ji1,"kích thích , hưng phấn"
虾,xia4,tôm
虫子,chong2zi,con sâu
毛毛虫,mao2mao2chong2,sâu lông
龙,,long2( long ) rồng
龙虾,long2xia4,tôm hùm
螃蟹,pang2xie1,cua
青蛙,qing1wa1,ếch
青,qing1,thanh
螺,luo2,ốc
生蚝,sheng1hao2,con hào
蛤蜊,ge2li2,con nghêu
隔离,ge2li2,cách li
饮料,yin3liao4,"đồ uống,thức uống"
饮,yin3,ẩm
饮食,yin3shi2,ẩm thực饣
饮酒,yin3jiu3,uống rượu ( thưởng thức )
汽,qi4,"hơi ,gas"
汽水,qi4shui3,nước có gas
可口可乐,ke3kou3ke3le4,coca cola
百事,bai3shi4,pepsi
七喜,qi1xi3,7up
雪碧,xue3bi4,sprite
美年达,mei3nian2da2,mirinda
斯汀,si1ting1,sting
红牛,hong2niu2,bò cụng
茶,cha2,trà
绿茶,lv4cha2,trà xanh
红茶,hong2cha2,hồng trà
抹茶,mo3cha2,matcha
胃,wei4,(vị) bao tử
养,yang3,dưỡng ( nuôi )
养胃,yang3wei4,nuôi bao tử
胃痛,wei4tong4,đau bao tử
胃疼,wei4teng2,đau bao tử
包养,bao1yang3,bao nuôi
保养,bao3yang3,bảo dưỡng
黑茶,hei1cha2,trà đen
花茶,hua1cha2,trà hoa
黄茶,huang2cha2,hoàng trà
白茶,bai2cha2,bạch trà
乌龙茶,wu1long2cha2,trà ô long
普洱茶,pu3er2cha2,trà phổ nhĩ
铁观音茶,tie3guan1yin1cha2,trà thiết quan âm
观音佛,guan1yin1fo2,phật quan âm
菊花茶,ju2hua1cha2,trà bông  cúc
茉莉茶,mo4li4cha2,trà hoa nhài
桃子,tao2zi,trái đào
桃茶,tao2cha2,trà đào
荔枝,li4zhi1,lệ chi
荔枝茶,li4zhi1cha2,trà vải
牛奶,niu2nai3,sữa bò
奶酪,nai3lao4,phô mai
芝士,zhi1shi4,phô mai
奶茶,nai3cha2,trà  sữa
奶油,nai3you2,"cream ,machiato"
炼乳,lian4ru3,sữa đặc
油,you2,dầu
油条,you2tiao2,bánh quẩy
加,jia1,"thêm ,+"
加油,jia1you2,thêm dầu /cố lên/đổ xăng
没,mei2,hết
车没油,che1mei2you2,xe hết xăng rồi
站,zhan4,đứng /  trạm
加油站,jia1you2zhan4,cây  xăng
站起来,zhan4qi3lai2,đứng lên
坐下来,zuo4xia4lai2,ngồi xuống
火车站,huo3che1zhan4,trạm xe lửa
加热,jia1re4,hâm  đồ ăn
热茶,re4cha2,trà nóng
水,shui3,nước
冰,bing1,( băng )
冰块,bing1kuai4,cục nước đá
加冰块,jia1bing1kuai4,thêm nước đá
冰沙,bing1sha1,sinh  tố
沙漠,sha1mo4,sa mạc
牛油果,niu2you2guo3,trái bơ
人心果,ren2xin1guo3,trái saboche
水果,shui3guo3,trái cây
果汁,guo3zhi1,nước ép trái cây
橙子,cheng2zi,trái  cam
橙汁,cheng2zhi1,nước ép cam
甘蔗,gan1zhe,mía
甘蔗汁,gan1zhezhi1,nước mía
苦瓜,ku3gua1,khổ qua
苦瓜汁,ku3gua1zhi1,nước ép  khổ qua
西瓜,xi1gua1,dưa hấu
南瓜,nan2gua1,bí đỏ
木瓜,mu4gua1,đu đủ
香瓜,xiang1gua1,dưa gang
哈密瓜,ha1mi4gua1,dưa lưới
冻,dong4,đông
冰冻,bing1dong4,đông lạnh
果冻,guo3dong1,"rau câu ,thạch"
巧克力,qiao3ke4li4,socola
可可,ke3ke3,ca cao
冰淇淋,bing1qi2lin2,kem
香草味,xiang1cao3wei4,vị vani
未,wei4,vị ( lai ) 未来
矿泉水,kuang4quan2shui3,"nước khoáng,nước suối"
矿,kuang4,Khoáng(sản)
石,,bộ thạch (đá )
泉,quan2,(tuyền) suối
温泉,wen1quan2,"ôn tuyền,suối nước nóng"
温水,wen1shui3,nước ấm
卖,mai4,bán
最近,zui4jin4,gần đây
做生意,zuo4sheng1yi4,"làm ăn , làm kinh doanh"
生意,sheng1yi4,"(n) chuyện kinh doanh ,việc làm ăn"
生,Sheng1,sinh
发生,,"fa1sheng1（v）: phát sinh,xảy ra"
生气,sheng1qi,tức giận
学生,xue2sheng1,học sinh
生菜,sheng1cai4,xà lách
做饭,zuo4fan4,nấu cơm
做菜,zuo4cai4,nấu đồ ăn
菜,cai4,món ăn
日本菜,ri4ben3cai4,món ăn Nhật
做爱,Zuo4ai4,làm 18+
词典,ci2dian3,từ điển
生词,sheng1ci2,từ mới
荧光笔,ying2guang1bi3,bút dạ quang
荧,ying2,huỳnh
光,guang1,quang
发光,fa1guang1,phát quang
白月光,bai2yue4guang1,Bạch Nguyệt  Quang
萤火虫,ying2huo3chong2,con đom đóm
改正笔,gai1zheng4bi3,bút xóa
改,gai3,"cải ,sửa"
改革,gai3ge2,cải cách
改变,gai3bian4,cải biến ( thay đổi)
你变了,ni3bian4le,bạn thay đổi rồi
正,zheng4,chính
橡胶,xiang4jiao1,cao su
橡皮,xiang4pi2,cục tẩy
橡皮擦,xiang4pi2ca1,cục tẩy
擦,ca1,"lau ,chùi 扌: bộ thủ"
香蕉,xiang1jiao1,trái chuối
圆规,yuan2gui1,compa
尺子,chi3zi,cây thước
田,tian2,( điền ) ruộng
电,dian4,điện
没电,mei2dian4,"hết pin,hết điện"
脑子,nao3zi,cái não
电脑,dian4nao3,máy tính
脑子进水,nao3zi jin4shui3,nhũng não
记,ji4,"kí ,note =>记者: ji4zhe3: nhà báo ( kí  giả )"
日记,ri4ji4,nhật kí
笔记本,bi3ji4ben3,note book ( vở có coong)
本子,ben3zi,cuốn vở
笔记本电脑,bi3ji4ben3dian4nao3,laptop
平,ping2,( bình )
平安,ping2an1,Bình an
日日平安,,ri4ri4ping2an1:
天天平安,,tian1tian1ping2an1:
苹果,ping2guo3,trái táo
梨,li2,trái  lê
分,fen1,chia
分离,fen1li2,phân li
平板电脑,ping2ban3dian4nao3,máy tính bảng
屏幕,ping2mu4,màn hình
分享,fen1xiang3,share  （ chia sẻ)
老鼠,lao3shu3,chuột
老鼠爱大米,lao3shu3ai4da4mi3,chuột yêu gạo
键盘,jian4pan2,bàn phím
记得,ji4de2,nhớ ( làm 1 cái gì đó) remember
中文,zhong1wen2,tiếng Trung
汉语,han4yu3,Tiếng Trung
转笔刀,zhuan4bi3dao1,đồ gọt
刀,dao1,dao
水果刀,shui3guo3dao1,dao gọt trái cây
作业,zuo4ye4,BTVN
写作业,xie3zuo4ye4,làm BTVN
做作业,zuo4zuo4ye4,làm BTVN
作业本,zuo4ye4ben3,Vở BTVN
笔袋,,bi3dai4:
袋子,dai4zi,túi
袋鼠,dai4shu3,chuột túi
宝贝,bao3bei4,bảo bối
真,zhen1,thật
天真,tian1zhen1,"chân thật , ngây thơ"
真的吗,,zhen1dema? Thiệt ko ?
少,shao3,"ít, thiếu"
课本,ke4ben3,sách giáo  khoa
上,shang4,"Thượng ,trên"
上课,shang4ke4,"lên lớp , đi học"
课,ke4,tiết học
书,shu1,sách
下,xia4,"hạ ,dưới ,rơi,rớt"
下课,xia4ke4,tan học
安静,an1jing4,"yên tĩnh ( người, phong cảnh)"
她是安静的人,ta1shi4 an1jing4 de ren2,"cô ấy là người hướng nội ,ít nói"
静悄悄,jing4qiao1qiao1,im phăng phắc
乱,luan4,"loạn,lộn xộn  , lung tung"
乱说,luan4shuo1,nói lung tung
说话,shuo1hua4,nói chuyện
话,hua4,( thoại ) lời nói
花,hua1,bông hoa
甜话,tian2hua4,lời nói ngọt ngào
你真会说甜话,ni3zhen1hui4shuo1tian2hua4,bạn thật biết nói lời ngọt ngào
跑,pao3,chạy
跑步,pao3bu4,chạy bộ
床,chuang2,giường
起床,qi3chuang2,thức dậy
天天,tian1tian1,ngày ngày
早,zao3,sớm
早上,zao3shang4,buổi sáng
早上好,Zao3shang4hao3,chào buổi sáng
陪,pei2,"đi cùng,cùng"
学校,xue2xiao4,trường học
北京,bei3jing1,Bắc Kinh
里边,li3bian,bên trong
教学楼,jiao4xue2lou2,toà nhà dạy học
办公楼,ban4gong1lou2,toà nhà văn phòng
楼,lou2,lầu
北边,bei3bian,phía bắc
西边,xi1bian,phía tây
南边,nan2bian,phía nam
附近,fu4jin4,"vùng lân cận, gần đây ( địa lí )"
饭馆,fan4guan3,"nhà hàng, quán cơm"
东边,dong1bian,phía đông
还,hai2,"vẫn,còn"
电影院,dian4ying3yuan4,rạp chiếu phim
电影,dian4ying3,phim
看,kan4,"xem , nhìn"
对面,dui4mian4,đối diện
药店,yao4dian4,hiệu thuốc
旁边,pang2bian1,bên cạnh (thực tế)
超市,chao1shi4,siêu thị
们,men,hậu tố được dùng để thành lập hình thức số nhiều
照片,zhao4pian4,tấm ảnh ( bức hình chụp )
左边,zuo3bian,bên trái
后边,hou4bian,phía sau
