Hanzi,Pinyin chuẩn,Nghĩa tiếng Việt
办公楼,bàn gong lóu,toà nhà văn phòng
楼,lóu,lầu
北边,běi bian,phía bắc
西边,xī bian,phía tây
南边,nán bian,phía nam
附近,fù jìn,"vùng lân cận, gần đây ( địa lí )"
饭馆,fàn guǎn,"nhà hàng, quán cơm"
东边,dong bian,phía đông
还,hái,"vẫn,còn"
电影院,diàn yǐng yuàn,rạp chiếu phim
电影,diàn yǐng,phim
看,kàn,"xem , nhìn"
对面,duì miàn,đối diện
药店,yào diàn,hiệu thuốc
旁边,páng biān,bên cạnh (thực tế)
超市,chāo shì,siêu thị
们,men,hậu tố được dùng để thành lập hình thức số nhiều
照片,zhào piàn,tấm ảnh ( bức hình chụp )
左边,zǔo bian,bên trái
后边,hòu bian,phía sau
桌子,zhūo zi,cái bàn
上边,shàng bian,bên trên
台灯,tái dēng,đèn bàn
台,tái,bệ
张,zhāng,"cái , chiếc, tờ/ họ Trương"
下边,xià bian,bên dưới
抽屉,chōu ti,ngăn kéo
块,kuài,"miếng, thỏi cục"
前边,qián bian,phía trước
鞋,xié,giày
拖鞋,tūo xié,dép lê
眼镜,yǎn jìng,mắt kính
闹钟,nào zhong,đồng hồ báo thức
热闹,rè nào,náo nhiệt
王爷,wáng ye,vương gia
担心,dàn xīn,lo lắng
聊天儿,liáo tiān r,"tám chuyện , nói chuyện phiếm ( 聊）"
杂志,zá zhì,tạp chí
觉得,jué dé,"cảm giác . Cảm thấy ,cho rằng"
吧,ba,chắc… phải không (trợ từ được dùng để thành lập câu hỏi yêu cầu xác định điều được giả định)
咱们,zán men,"chúng ta, chúng mình"
啊,a,"đấy, nhỉ, đó (trợ từ dùng ở cuối câu để thể hiện sự khẳng định hoặc tán thành"
出发,chū fā,"xuất phát, bắt đầu lên đường"
行,xíng,"được, giỏi"
见面,jiàn miàn,gặp mặt
差,chà,"kém, thiếu"
门口,mén kǒu,"cửa, cổng"
等,děng,đợi chờ
起,qǐ,dậy
午饭,wǔ fàn,bữa trưa
晚饭,wǎn fàn,bữa tối
年,nián,năm
星期四,xīng qī sì,thứ 5
星期五,xīng qī wǔ,thứ 6
星期六,xīng qī liù,thứ 7
星期日,xīng qī rì,chủ nhật
星期天,xīng qī tiān,chủ nhật
这个月,zhè gèyue,tháng này
打算,dǎ suàn,"(v) (n ) : tính , định , dự định / dự định , kế hoạch"
比如,bǐ rú,ví dụ
无关,wú guān,không liên quan
